source	target	is_directed	is_stimulation	is_inhibition	consensus_direction	consensus_stimulation	consensus_inhibition	sources	references
P14921	P22736	1	1	0	1	1	0	CollecTRI;DoRothEA;GOA_CollecTRI;PAZAR_DoRothEA;ReMap_DoRothEA	CollecTRI:31146003
O75030	O60315	1	0	0	0	0	0	ARACNe-GTEx_DoRothEA;DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	
P19419	P22736	1	1	0	1	1	0	CollecTRI;DoRothEA;DoRothEA-reviews_DoRothEA;GOA_CollecTRI;ReMap_DoRothEA	CollecTRI:31146003;DoRothEA:19687146
P03372	Q12948	1	1	0	1	1	0	CollecTRI;DoRothEA;DoRothEA-A_CollecTRI;HTRIdb;IntAct_CollecTRI;IntAct_DoRothEA;PAZAR_DoRothEA	CollecTRI:18414489;CollecTRI:25303530;HTRIdb:18414489
P03372	O00712	1	1	0	1	1	0	CollecTRI;DoRothEA;DoRothEA-A_CollecTRI;HTRIdb;IntAct_CollecTRI;IntAct_DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	CollecTRI:18414489;CollecTRI:26153859;HTRIdb:18414489
P03372	Q15025	1	1	0	1	1	0	CollecTRI;DoRothEA;HOCOMOCO_DoRothEA;IntAct_CollecTRI;IntAct_DoRothEA;PAZAR_DoRothEA	CollecTRI:25303530
P03372	Q9ULU4	1	1	0	1	1	0	CollecTRI;DoRothEA;DoRothEA-A_CollecTRI;HTRIdb;IntAct_CollecTRI;IntAct_DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	CollecTRI:18414489;CollecTRI:26153859;HTRIdb:18414489
P01100	O43524	1	1	0	1	1	0	CollecTRI;DoRothEA;IntAct_CollecTRI;PAZAR_DoRothEA;ReMap_DoRothEA	CollecTRI:24298014
P01100	Q4ZG55	1	1	0	1	1	0	CollecTRI;DoRothEA;IntAct_CollecTRI;IntAct_DoRothEA;PAZAR_DoRothEA	CollecTRI:25303530
P55317	Q12948	1	1	0	1	1	0	CollecTRI;DoRothEA;IntAct_CollecTRI;IntAct_DoRothEA;PAZAR_DoRothEA	CollecTRI:25303530
P23771	Q9H6U6	1	1	0	1	1	0	CollecTRI;DoRothEA;IntAct_CollecTRI;IntAct_DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	CollecTRI:26028330
P23771	Q4ZG55	1	1	0	1	1	0	CollecTRI;DoRothEA;HOCOMOCO_DoRothEA;IntAct_CollecTRI;IntAct_DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	CollecTRI:25303530
P23771	Q8IZD2	1	1	0	1	1	0	CollecTRI;DoRothEA;IntAct_CollecTRI;IntAct_DoRothEA;PAZAR_DoRothEA	CollecTRI:26028330
P23771	Q9Y6Q9	1	1	0	1	1	0	CollecTRI;DoRothEA;IntAct_CollecTRI;IntAct_DoRothEA;PAZAR_DoRothEA	CollecTRI:26028330
P23771	O95292	1	1	0	1	1	0	CollecTRI;DoRothEA;IntAct_CollecTRI;IntAct_DoRothEA;PAZAR_DoRothEA	CollecTRI:26028330
P23771	O75362	1	1	0	1	1	0	CollecTRI;DoRothEA;IntAct_CollecTRI;IntAct_DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	CollecTRI:26028330
Q16665	Q7Z713	1	1	0	1	1	0	CollecTRI;DoRothEA;DoRothEA-A_CollecTRI;HTRIdb;IntAct_CollecTRI;IntAct_DoRothEA;JASPAR_DoRothEA;PAZAR;PAZAR_DoRothEA	CollecTRI:19828020;CollecTRI:23746844;HTRIdb:19828020;PAZAR:19828020
Q9UGL1	Q9NXW2	1	1	0	1	1	0	CollecTRI;DoRothEA;IntAct_CollecTRI;IntAct_DoRothEA;ReMap_DoRothEA	CollecTRI:24937458
P10276	P49639	1	1	0	1	1	0	CollecTRI;DoRothEA;GEREDB_CollecTRI;IntAct_CollecTRI;IntAct_DoRothEA;PAZAR_DoRothEA;RegNetwork_DoRothEA;TRED_DoRothEA	CollecTRI:19131338;CollecTRI:25303530
P42224	Q4ZG55	1	1	0	1	1	0	CollecTRI;DoRothEA;IntAct_CollecTRI;IntAct_DoRothEA;PAZAR_DoRothEA	CollecTRI:25303530
Q9NQB0	Q15583	1	1	0	1	1	0	CollecTRI;DoRothEA;IntAct_CollecTRI;IntAct_DoRothEA;ReMap_DoRothEA	CollecTRI:25873176
Q92754	P55317	1	1	0	1	1	0	CollecTRI;DoRothEA;IntAct_CollecTRI;IntAct_DoRothEA;PAZAR_DoRothEA	CollecTRI:24835590
Q92754	Q12948	1	1	0	1	1	0	CollecTRI;DoRothEA;IntAct_CollecTRI;IntAct_DoRothEA;PAZAR_DoRothEA	CollecTRI:25303530
Q92754	Q5SZK8	1	1	0	1	1	0	CollecTRI;DoRothEA;ENCODE-distal;IntAct_CollecTRI;IntAct_DoRothEA;PAZAR_DoRothEA	CollecTRI:24835590
Q16665	O94953	1	1	0	1	1	0	CollecTRI;DoRothEA;DoRothEA-A_CollecTRI;HTRIdb;PAZAR_DoRothEA;ReMap_DoRothEA;SIGNOR;SIGNOR_CollecTRI;TFe_DoRothEA	CollecTRI:19828020;CollecTRI:20682797;CollecTRI:32938217;HTRIdb:19828020;SIGNOR:32938217
P26367	Q01860	1	0	0	0	0	0	DoRothEA;TFe_DoRothEA	
P18848	P49589	1	1	0	1	1	0	ARACNe-GTEx_DoRothEA;CollecTRI;DoRothEA;HOCOMOCO_DoRothEA;JASPAR_DoRothEA;ReMap_DoRothEA;SIGNOR;SIGNOR_CollecTRI	CollecTRI:33384352;SIGNOR:33384352
P01106	P11166	1	1	0	1	1	0	CollecTRI;DoRothEA;GEREDB_CollecTRI;ReMap_DoRothEA;SIGNOR;SIGNOR_CollecTRI	CollecTRI:10823814;SIGNOR:10823814
P04637	P40692	1	1	0	1	1	0	ARACNe-GTEx_DoRothEA;CollecTRI;DoRothEA;DoRothEA-A_CollecTRI;DoRothEA-reviews_DoRothEA;SIGNOR;SIGNOR_CollecTRI	CollecTRI:15781865;DoRothEA:18431400;SIGNOR:15781865
P04637	P54278	1	1	0	1	1	0	CollecTRI;DoRothEA-A_CollecTRI;DoRothEA-reviews_DoRothEA;SIGNOR;SIGNOR_CollecTRI	CollecTRI:15781865;SIGNOR:15781865
P04637	Q6UB99	1	1	0	1	1	0	CollecTRI;DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA;SIGNOR;SIGNOR_CollecTRI	CollecTRI:18840648;SIGNOR:18840648
P26367	Q9H9S0	1	0	0	0	0	0	DoRothEA;TFe_DoRothEA	
P17947	P11161	1	1	0	1	1	0	CollecTRI;DoRothEA;PAZAR_DoRothEA;SIGNOR_CollecTRI	CollecTRI:16923394
P49715	Q9C0B1	1	1	0	1	1	0	CollecTRI;DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA;SIGNOR_CollecTRI	CollecTRI:24877091
P17542	Q06413	1	1	0	1	1	0	CollecTRI;DoRothEA;PAZAR_DoRothEA;Pavlidis2021_CollecTRI;ReMap_DoRothEA;SIGNOR_CollecTRI	CollecTRI:21261500
P03372	O94953	1	1	0	1	1	0	CollecTRI;DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA;SIGNOR_CollecTRI	CollecTRI:20682797
P42224	P29460	1	1	0	1	1	0	CollecTRI;CytReg_CollecTRI;DoRothEA;PAZAR_DoRothEA;SIGNOR_CollecTRI	CollecTRI:19029990;CollecTRI:24012417
P17542	Q14865	1	0	0	0	0	0	DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	
P23771	Q14865	1	0	0	0	0	0	DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	
Q01196	Q14865	1	0	0	0	0	0	DoRothEA;HOCOMOCO_DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	
Q00613	P17066	1	1	0	1	1	0	CollecTRI;DoRothEA;ENCODE-proximal;JASPAR_DoRothEA;ReMap_DoRothEA;SIGNOR_CollecTRI	CollecTRI:12813038
O00327	Q14995	1	0	0	0	0	0	DoRothEA;TFe_DoRothEA	
Q04206	P19876	1	1	0	1	1	0	CollecTRI;CytReg_CollecTRI;DoRothEA;HOCOMOCO_DoRothEA;JASPAR_DoRothEA;RegNetwork_DoRothEA;TRED_DoRothEA	CollecTRI:15722553
P42224	P78423	1	1	0	1	1	0	CollecTRI;CytReg_CollecTRI;DoRothEA;IntAct_DoRothEA;PAZAR_DoRothEA	CollecTRI:25040843
P42224	O14625	1	1	0	1	1	0	ARACNe-GTEx_DoRothEA;CollecTRI;CytReg_CollecTRI;DoRothEA;JASPAR_DoRothEA	CollecTRI:17202361
Q01094	P61812	1	1	0	1	1	0	CollecTRI;CytReg_CollecTRI;DoRothEA;PAZAR_DoRothEA;RegNetwork_DoRothEA;TRED_DoRothEA	CollecTRI:15290353
P49715	Q14865	1	0	0	0	0	0	DoRothEA;JASPAR_DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	
P49715	P05305	1	0	1	1	0	1	CollecTRI;DoRothEA;GEREDB_CollecTRI;PAZAR_DoRothEA;RegNetwork_DoRothEA;TRED_DoRothEA	CollecTRI:12067903
P49715	Q05397	1	1	0	1	1	0	CollecTRI;DoRothEA;GEREDB_CollecTRI;PAZAR_DoRothEA;ReMap_DoRothEA	CollecTRI:11429278
P49715	P49327	1	1	0	1	1	0	ARACNe-GTEx_DoRothEA;CollecTRI;DoRothEA;GEREDB_CollecTRI;PAZAR_DoRothEA;RegNetwork_DoRothEA;TRED_DoRothEA	CollecTRI:15319454
P16220	Q08499	1	1	0	1	1	0	CollecTRI;DoRothEA;GEREDB_CollecTRI;ReMap_DoRothEA;RegNetwork_DoRothEA;TRED_DoRothEA	CollecTRI:15937214
P16220	P01213	1	1	0	1	1	0	CollecTRI;DoRothEA;GEREDB_CollecTRI;RegNetwork_DoRothEA;TRED_DoRothEA	CollecTRI:19106229
P49711	Q13322	1	1	0	1	1	0	CollecTRI;DoRothEA;GEREDB_CollecTRI;PAZAR_DoRothEA;ReMap_DoRothEA	CollecTRI:12595547
Q01094	P01133	1	1	0	1	1	0	CollecTRI;DoRothEA;GEREDB_CollecTRI;PAZAR_DoRothEA;RegNetwork_DoRothEA;TRED_DoRothEA	CollecTRI:19276347
Q01094	Q15910	1	1	0	1	1	0	ARACNe-GTEx_DoRothEA;CollecTRI;DoRothEA;ENCODE-proximal;GEREDB_CollecTRI;HOCOMOCO_DoRothEA;PAZAR_DoRothEA	CollecTRI:19893569
