=== Hyperparameter Tuning for Standard MLP ===
Goal: Maximize accuracy through systematic search

Loading data...
Dataset: 33171 train | 7108 val | 7109 test

Testing 242 configurations...

  # |  Emb |  Hid |  Out |     LR |   Temp |   BS | Epochs | Val Acc | Test Acc
----------------------------------------------------------------------------------------------------
 84 |   64 |  128 |   64 | 0.0001 | 0.5000 |  256 |     30 |  53.07% |   53.38%
 85 |   64 |  128 |   64 | 0.0005 | 0.0500 |  256 |     30 |  57.53% |   58.71%
 86 |   64 |  128 |   64 | 0.0005 | 0.1000 |  256 |     30 |  57.54% |   58.71%
 87 |   64 |  128 |   64 | 0.0005 | 0.2000 |  256 |     30 |  57.54% |   58.71%
 88 |   64 |  128 |   64 | 0.0005 | 0.5000 |  256 |     30 |  57.54% |   58.71%
 89 |   64 |  128 |   64 | 0.0010 | 0.0500 |  256 |     30 |  59.88% |   60.82%
 90 |   64 |  128 |   64 | 0.0010 | 0.1000 |  256 |     30 |  59.88% |   60.81%
 91 |   64 |  128 |   64 | 0.0010 | 0.2000 |  256 |     30 |  59.85% |   60.81%
 92 |   64 |  128 |   64 | 0.0010 | 0.5000 |  256 |     30 |  59.85% |   60.81%
 93 |   64 |  128 |   64 | 0.0050 | 0.0500 |  256 |     30 |  69.12% |   69.57%
 94 |   64 |  128 |   64 | 0.0050 | 0.1000 |  256 |     30 |  69.09% |   69.48%
 95 |   64 |  128 |   64 | 0.0050 | 0.2000 |  256 |     30 |  69.08% |   69.50%
 96 |   64 |  128 |   64 | 0.0050 | 0.5000 |  256 |     30 |  69.08% |   69.46%
 97 |   64 |  256 |   64 | 0.0001 | 0.0500 |  256 |     30 |  55.89% |   55.16%
 98 |   64 |  256 |   64 | 0.0001 | 0.1000 |  256 |     30 |  55.89% |   55.16%
 99 |   64 |  256 |   64 | 0.0001 | 0.2000 |  256 |     30 |  55.89% |   55.17%
100 |   64 |  256 |   64 | 0.0001 | 0.5000 |  256 |     30 |  55.89% |   55.17%
101 |   64 |  256 |   64 | 0.0005 | 0.0500 |  256 |     30 |  63.66% |   63.31%
102 |   64 |  256 |   64 | 0.0005 | 0.1000 |  256 |     30 |  63.65% |   63.31%
103 |   64 |  256 |   64 | 0.0005 | 0.2000 |  256 |     30 |  63.66% |   63.31%
104 |   64 |  256 |   64 | 0.0005 | 0.5000 |  256 |     30 |  63.67% |   63.30%
105 |   64 |  256 |   64 | 0.0010 | 0.0500 |  256 |     30 |  66.50% |   65.99%
106 |   64 |  256 |   64 | 0.0010 | 0.1000 |  256 |     30 |  66.47% |   65.96%
107 |   64 |  256 |   64 | 0.0010 | 0.2000 |  256 |     30 |  66.49% |   65.96%
108 |   64 |  256 |   64 | 0.0010 | 0.5000 |  256 |     30 |  66.50% |   65.96%
109 |   64 |  256 |   64 | 0.0050 | 0.0500 |  256 |     30 |  75.41% |   75.78%
110 |   64 |  256 |   64 | 0.0050 | 0.1000 |  256 |     30 |  75.51% |   75.61%
111 |   64 |  256 |   64 | 0.0050 | 0.2000 |  256 |     30 |  75.23% |   75.57%
112 |   64 |  256 |   64 | 0.0050 | 0.5000 |  256 |     30 |  75.30% |   75.55%
113 |   64 |  512 |   64 | 0.0001 | 0.0500 |  256 |     30 |  58.62% |   58.76%
114 |   64 |  512 |   64 | 0.0001 | 0.1000 |  256 |     30 |  58.64% |   58.76%
115 |   64 |  512 |   64 | 0.0001 | 0.2000 |  256 |     30 |  58.64% |   58.76%
116 |   64 |  512 |   64 | 0.0001 | 0.5000 |  256 |     30 |  58.64% |   58.76%
117 |   64 |  512 |   64 | 0.0005 | 0.0500 |  256 |     30 |  66.63% |   67.35%
118 |   64 |  512 |   64 | 0.0005 | 0.1000 |  256 |     30 |  66.67% |   67.37%
119 |   64 |  512 |   64 | 0.0005 | 0.2000 |  256 |     30 |  66.69% |   67.35%
120 |   64 |  512 |   64 | 0.0005 | 0.5000 |  256 |     30 |  66.70% |   67.35%
121 |   64 |  512 |   64 | 0.0010 | 0.0500 |  256 |     30 |  68.60% |   68.55%
122 |   64 |  512 |   64 | 0.0010 | 0.1000 |  256 |     30 |  68.82% |   69.05%
123 |   64 |  512 |   64 | 0.0010 | 0.2000 |  256 |     30 |  68.89% |   69.31%
